date,workstream,category,task,hours,evidence_path
27/01/2026,Repo,monitoring,DQ/latency checks + register update,1.9,docs/*; logs/*
27/01/2026,Repo,QA,Smoke checks + audit,0.6,docs/*; logs/*
28/01/2026,Repo,docs,Docs update + cross-linking,0.5,docs/*; logs/*
28/01/2026,Repo,data,Data prep / validation,1,docs/*; logs/*
29/01/2026,Repo,docs,Docs update + cross-linking,1.4,docs/*; logs/*
29/01/2026,Repo,model,Model run + metrics,1.1,docs/*; logs/*
30/01/2026,Repo,monitoring,DQ/latency checks + register update,0.5,docs/*; logs/*
30/01/2026,Repo,data,Data prep / validation,1,docs/*; logs/*
02/02/2026,Repo,ops,Packaging / handover / review,1.3,docs/*; logs/*
02/02/2026,Repo,model,Model run + metrics,1.2,docs/*; logs/*
02/02/2026,Repo,QA,Smoke checks + audit,1,docs/*; logs/*
03/02/2026,Repo,docs,Docs update + cross-linking,2.4,docs/*; logs/*
03/02/2026,Repo,data,Data prep / validation,0.6,docs/*; logs/*
03/02/2026,Repo,model,Model run + metrics,0.5,docs/*; logs/*
04/02/2026,Repo,model,Model run + metrics,0.8,docs/*; logs/*
04/02/2026,Repo,dashboards,Dashboard export QA + styling,0.7,docs/*; logs/*
05/02/2026,Repo,dashboards,Dashboard export QA + styling,0.7,docs/*; logs/*
05/02/2026,V2,data,Data prep / validation,1.2,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
05/02/2026,V2,QA,Smoke checks + audit,1.1,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
06/02/2026,V2,data,Data prep / validation,0.9,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
06/02/2026,V2,docs,Docs update + cross-linking,1.1,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
08/08/2024,V1,dashboards,Dashboard export QA + styling,0.5,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
08/08/2024,V1,monitoring,DQ/latency checks + register update,0,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
09/02/2026,V2,QA,Smoke checks + audit,0.9,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
09/02/2026,V2,data,Data prep / validation,1.6,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
10/04/2024,V1,dashboards,Dashboard export QA + styling,1.1,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
10/04/2024,V1,data,Data prep / validation,1.5,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
10/02/2026,Repo,monitoring,DQ/latency checks + register update,0.9,docs/*; logs/*
11/02/2026,Repo,monitoring,DQ/latency checks + register update,1.3,docs/*; logs/*
11/04/2024,V1,QA,Smoke checks + audit,0.7,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
12/02/2026,V2,ops,Packaging / handover / review,0.9,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
12/04/2024,V1,QA,Smoke checks + audit,0.6,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
13/02/2026,V2,monitoring,DQ/latency checks + register update,1.4,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
13/02/2026,Repo,data,Data prep / validation,1.1,docs/*; logs/*
14/02/2026,V2,data,Data prep / validation,0.5,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
14/02/2026,V2,dashboards,Dashboard export QA + styling,0,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
15/02/2026,V2,monitoring,DQ/latency checks + register update,0.5,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
15/04/2024,V1,monitoring,DQ/latency checks + register update,0.5,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
16/04/2024,V1,model,Model run + metrics,0.5,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
16/02/2026,V2,monitoring,DQ/latency checks + register update,2,v2_modernisation_realtime/*; docs/dashboards/V2/exports/*
17/04/2024,V1,QA,Smoke checks + audit,0.6,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
17/04/2024,V1,monitoring,DQ/latency checks + register update,0.9,v1_dissertation_baseline/*; docs/dashboards/V1/exports/*
