timestamp,yhat,yhat_lower,yhat_upper,y
2026-02-13 16:21:00+00:00,10445.759674112473,10444.628836808224,10446.890511416721,10446.74
2026-02-13 16:22:00+00:00,10445.74426006182,10444.046870822061,10447.441649301578,10447.37
2026-02-13 16:23:00+00:00,10445.780977988668,10443.645467065753,10447.916488911584,10447.04
2026-02-13 16:24:00+00:00,10445.792368339045,10443.299324042599,10448.285412635492,10446.23
2026-02-13 16:25:00+00:00,10445.784710445474,10442.994759496147,10448.574661394801,10444.55
2026-02-13 16:26:00+00:00,10445.782866045432,10442.72136790454,10448.844364186325,10444.32
2026-02-13 16:27:00+00:00,10445.781157327203,10442.469623810026,10449.09269084438,10445.86
2026-02-13 16:28:00+00:00,10445.781246792923,10442.236755798573,10449.325737787274,10446.22
2026-02-13 16:29:00+00:00,10445.781639157058,10442.018282566189,10449.544995747927,10445.98
2026-02-13 16:30:00+00:00,10445.781649352013,10441.811671220781,10449.751627483245,10446.35
