sector_a,sector_b,corr,run_id
Consumer Discretionary,Industrials,0.8309735170558458,v2_20260217T141158Z_c04a438c
Communication Services,Consumer Discretionary,0.7891491302711227,v2_20260217T141158Z_c04a438c
Communication Services,Materials,0.7441215433166485,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Financials,0.7256906713492014,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Materials,0.6580637310406143,v2_20260217T141158Z_c04a438c
Consumer Staples,Industrials,0.6558804670610018,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Consumer Staples,0.6526696534069238,v2_20260217T141158Z_c04a438c
Energy,Financials,0.6437162528682062,v2_20260217T141158Z_c04a438c
Consumer Staples,Financials,0.6031760943488411,v2_20260217T141158Z_c04a438c
Communication Services,Industrials,0.5994062706286448,v2_20260217T141158Z_c04a438c
Communication Services,Energy,0.5808826334831478,v2_20260217T141158Z_c04a438c
Communication Services,Financials,0.5775180273085049,v2_20260217T141158Z_c04a438c
Energy,Materials,0.5674111466568834,v2_20260217T141158Z_c04a438c
Financials,Technology,0.5644586191232847,v2_20260217T141158Z_c04a438c
Financials,Industrials,0.5615989093205662,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Technology,0.5499878017273466,v2_20260217T141158Z_c04a438c
Communication Services,Consumer Staples,0.53227968812108,v2_20260217T141158Z_c04a438c
Communication Services,Health Care,0.5136389231079589,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Energy,0.5116020710964454,v2_20260217T141158Z_c04a438c
Industrials,Technology,0.47783176914574893,v2_20260217T141158Z_c04a438c
Health Care,Materials,0.45431441808738005,v2_20260217T141158Z_c04a438c
Industrials,Materials,0.4508026622945525,v2_20260217T141158Z_c04a438c
Consumer Staples,Materials,0.44734527321872086,v2_20260217T141158Z_c04a438c
Financials,Materials,0.4442713451088767,v2_20260217T141158Z_c04a438c
Energy,Technology,0.44205899600658866,v2_20260217T141158Z_c04a438c
Consumer Staples,Energy,0.438059790158986,v2_20260217T141158Z_c04a438c
Energy,Industrials,0.4160796576067943,v2_20260217T141158Z_c04a438c
Consumer Staples,Technology,0.41576291593008674,v2_20260217T141158Z_c04a438c
Communication Services,Technology,0.382281021664347,v2_20260217T141158Z_c04a438c
Materials,Technology,0.3639307275131077,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Health Care,0.3602289863680382,v2_20260217T141158Z_c04a438c
Financials,Health Care,0.3321898385387251,v2_20260217T141158Z_c04a438c
Energy,Health Care,0.30285977145596754,v2_20260217T141158Z_c04a438c
Consumer Staples,Health Care,0.2128844042474925,v2_20260217T141158Z_c04a438c
Health Care,Technology,0.1915755045655144,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Real Estate,0.18224640049709873,v2_20260217T141158Z_c04a438c
Health Care,Industrials,0.1635491099199469,v2_20260217T141158Z_c04a438c
Technology,Utilities,0.1602340859728121,v2_20260217T141158Z_c04a438c
Energy,Real Estate,0.1541682920431819,v2_20260217T141158Z_c04a438c
Financials,Utilities,0.1418937214324049,v2_20260217T141158Z_c04a438c
Communication Services,Utilities,0.13196022538043004,v2_20260217T141158Z_c04a438c
Industrials,Utilities,0.1316890637609094,v2_20260217T141158Z_c04a438c
Materials,Real Estate,0.1301129678590477,v2_20260217T141158Z_c04a438c
Consumer Discretionary,Utilities,0.11975806112560018,v2_20260217T141158Z_c04a438c
Real Estate,Technology,0.10867817220226278,v2_20260217T141158Z_c04a438c
Consumer Staples,Utilities,0.10797494672126119,v2_20260217T141158Z_c04a438c
Health Care,Real Estate,0.1014259283454719,v2_20260217T141158Z_c04a438c
Industrials,Real Estate,0.09024794427902169,v2_20260217T141158Z_c04a438c
Financials,Real Estate,0.07255430322399659,v2_20260217T141158Z_c04a438c
Communication Services,Real Estate,0.06481064233909004,v2_20260217T141158Z_c04a438c
Materials,Utilities,0.03378485122956169,v2_20260217T141158Z_c04a438c
Real Estate,Utilities,0.015794453335046806,v2_20260217T141158Z_c04a438c
Energy,Utilities,-0.004378609203268216,v2_20260217T141158Z_c04a438c
Consumer Staples,Real Estate,-0.02035196774851697,v2_20260217T141158Z_c04a438c
Health Care,Utilities,-0.03093814598385211,v2_20260217T141158Z_c04a438c
